# t(seg)	 CIC (A)	 Reactivity($)
-9.94	1.0	0.0
-9.879999999999999	1.0	0.0
-9.819999999999999	1.0	0.0
-9.759999999999998	1.0	0.0
-9.699999999999998	1.0	0.0
-9.639999999999997	1.0	0.0
-9.579999999999997	1.0	0.0
-9.519999999999996	1.0	0.0
-9.459999999999996	1.0	0.0
-9.399999999999995	1.0	0.0
-9.339999999999995	1.0	0.0
-9.279999999999994	1.0	0.0
-9.219999999999994	1.0	0.0
-9.159999999999993	1.0	0.0
-9.099999999999993	1.0	0.0
-9.039999999999992	1.0	0.0
-8.979999999999992	1.0	0.0
-8.919999999999991	1.0	0.0
-8.85999999999999	1.0	0.0
-8.79999999999999	1.0	0.0
-8.73999999999999	1.0	0.0
-8.679999999999989	1.0	0.0
-8.619999999999989	1.0	0.0
-8.559999999999988	1.0	0.0
-8.499999999999988	1.0	0.0
-8.439999999999987	1.0	0.0
-8.379999999999987	1.0	0.0
-8.319999999999986	1.0	0.0
-8.259999999999986	1.0	0.0
-8.199999999999985	1.0	0.0
-8.139999999999985	1.0	0.0
-8.079999999999984	1.0	0.0
-8.019999999999984	1.0	0.0
-7.959999999999984	1.0	0.0
-7.899999999999984	1.0	0.0
-7.839999999999985	1.0	0.0
-7.779999999999985	1.0	0.0
-7.7199999999999855	1.0	0.0
-7.659999999999986	1.0	0.0
-7.599999999999986	1.0	0.0
-7.539999999999987	1.0	0.0
-7.479999999999987	1.0	0.0
-7.4199999999999875	1.0	0.0
-7.359999999999988	1.0	0.0
-7.299999999999988	1.0	0.0
-7.239999999999989	1.0	0.0
-7.179999999999989	1.0	0.0
-7.1199999999999894	1.0	0.0
-7.05999999999999	1.0	0.0
-6.99999999999999	1.0	0.0
-6.939999999999991	1.0	0.0
-6.879999999999991	1.0	0.0
-6.819999999999991	1.0	0.0
-6.759999999999992	1.0	0.0
-6.699999999999992	1.0	0.0
-6.639999999999993	1.0	0.0
-6.579999999999993	1.0	0.0
-6.519999999999993	1.0	-3.6191999999999995e-05
-6.459999999999994	1.0	0.0001673880001264033
-6.399999999999994	1.0	0.00016738800016825872
-6.3399999999999945	1.0	0.00016738800021011413
-6.279999999999995	1.0	0.00016738800025196954
-6.219999999999995	1.0	0.00016738800029382495
-6.159999999999996	1.0	0.00016738800033568035
-6.099999999999996	1.0	0.00016738800037753576
-6.0399999999999965	1.0	0.00016738800041939117
-5.979999999999997	1.0	0.00016738800046124658
-5.919999999999997	1.0	0.00016738800050310199
-5.859999999999998	1.0	0.0001673880005449574
-5.799999999999998	1.0	0.0001673880005868128
-5.739999999999998	1.0	0.00016738800067052362
-5.679999999999999	1.0	0.00016738800071237903
-5.619999999999999	1.0	0.00016738800075423443
-5.56	1.0	0.00016738800079608984
-5.5	1.0	0.00016738800079608984
-5.44	1.0	0.00016738800079608984
-5.380000000000001	1.0	0.00016738800079608984
-5.320000000000001	1.0	0.00016738800079608984
-5.260000000000002	1.0	0.00016738800079608984
-5.200000000000002	1.0	0.00016738800079608984
-5.140000000000002	1.0	0.00016738800079608984
-5.080000000000003	1.0	0.00016738800079608984
-5.020000000000003	1.0	0.00016738800079608984
-4.9600000000000035	1.0	0.00016738800079608984
-4.900000000000004	1.0	0.00016738800079608984
-4.840000000000004	1.0	0.00016738800079608984
-4.780000000000005	1.0	0.00016738800079608984
-4.720000000000005	1.0	0.00016738800079608984
-4.6600000000000055	1.0	0.00016738800079608984
-4.600000000000006	1.0	0.00016738800079608984
-4.540000000000006	1.0	0.00016738800079608984
-4.480000000000007	1.0	0.00016738800079608984
-4.420000000000007	1.0	0.00016738800079608984
-4.360000000000007	1.0	0.00016738800079608984
-4.300000000000008	1.0	0.00016738800079608984
-4.240000000000008	1.0	0.00016738800079608984
-4.180000000000009	1.0	0.00016738800079608984
-4.120000000000009	1.0	0.00016738800079608984
-4.060000000000009	1.0	0.00016738800079608984
-4.00000000000001	1.0	0.00016738800079608984
-3.9400000000000097	1.0	0.00016738800079608984
-3.8800000000000097	1.0	0.00016738800071237903
-3.8200000000000096	1.0	0.00016738800071237903
-3.7600000000000096	1.0	0.00016738800071237903
-3.7000000000000095	1.0	0.00016738800071237903
-3.6400000000000095	1.0	0.0001673880006286682
-3.5800000000000094	1.0	0.0001673880006286682
-3.5200000000000093	1.0	0.0001673880006286682
-3.4600000000000093	1.0	0.0001673880006286682
-3.4000000000000092	1.0	0.0001673880006286682
-3.340000000000009	1.0	0.0001673880006286682
-3.280000000000009	1.0	0.0001673880005449574
-3.220000000000009	1.0	0.0001673880005449574
-3.160000000000009	1.0	0.0001673880005449574
-3.100000000000009	1.0	0.0001673880005449574
-3.040000000000009	1.0	0.00016738800046124658
-2.980000000000009	1.0	0.00016738800046124658
-2.920000000000009	1.0	0.00016738800046124658
-2.8600000000000088	1.0	0.00016738800046124658
-2.8000000000000087	1.0	0.00016738800046124658
-2.7400000000000087	1.0	0.00016738800046124658
-2.6800000000000086	1.0	0.00016738800046124658
-2.6200000000000085	1.0	0.00016738800046124658
-2.5600000000000085	1.0	0.00016738800046124658
-2.5000000000000084	1.0	0.00016738800046124658
-2.4400000000000084	1.0	0.00016738800046124658
-2.3800000000000083	1.0	0.00016738800046124658
-2.3200000000000083	1.0	0.00016738800046124658
-2.2600000000000082	1.0	0.00016738800046124658
-2.200000000000008	1.0	0.00016738800046124658
-2.140000000000008	1.0	0.00016738800046124658
-2.080000000000008	1.0	0.00016738800046124658
-2.020000000000008	1.0	0.00016738800046124658
-1.960000000000008	1.0	0.00016738800046124658
-1.900000000000008	1.0	0.00016738800046124658
-1.8400000000000079	1.0	0.00016738800046124658
-1.7800000000000078	1.0	0.00016738800046124658
-1.7200000000000077	1.0	0.00016738800046124658
-1.6600000000000077	1.0	0.00016738800046124658
-1.6000000000000076	1.0	0.00016738800046124658
-1.5400000000000076	1.0	0.00016738800046124658
-1.4800000000000075	1.0	0.00016738800046124658
-1.4200000000000075	1.0	0.00016738800046124658
-1.3600000000000074	1.0	0.00016738800046124658
-1.3000000000000074	1.0	0.00016738800046124658
-1.2400000000000073	1.0	0.00016738800046124658
-1.1800000000000073	1.0	0.00016738800046124658
-1.1200000000000072	1.0	0.00016738800046124658
-1.0600000000000072	1.0	0.00016738800046124658
-1.000000000000007	1.0	0.00016738800046124658
-0.940000000000007	1.0	0.00016738800046124658
-0.880000000000007	1.0	0.00016738800046124658
-0.820000000000007	1.0	0.00016738800046124658
-0.7600000000000069	1.0	0.00016738800046124658
-0.7000000000000068	1.0	0.00016738800046124658
-0.6400000000000068	1.0	0.00016738800046124658
-0.5800000000000067	1.0	0.00016738800046124658
-0.5200000000000067	1.0	0.00016738800046124658
-0.4600000000000067	1.0	0.00016738800045601465
-0.4000000000000067	1.0	0.00016738800045601465
-0.3400000000000067	1.0	0.00016738800045601465
-0.2800000000000067	1.0	0.00016738800045601465
-0.2200000000000067	1.0	0.00016738800045601465
-0.1600000000000067	1.0	0.00016738800045601465
-0.1000000000000067	1.0	0.00016738800045601465
-0.0400000000000067	1.0	0.00016738800045601465
0.0199999999999933	1.0094287337741288	7.564810001343013
0.0799999999999933	1.0102658064265115	7.246041891922181
0.1399999999999933	1.0104927022976682	7.161167185930783
0.1999999999999933	1.0107083741080427	7.137401524292978
0.2599999999999933	1.010914298273054	7.120950106417243
0.3199999999999933	1.0111116302756182	7.108768335235377
0.3799999999999933	1.0113013605307042	7.0989724177504305
0.4399999999999933	1.01148433963032	7.090415267347801
0.4999999999999933	1.0116612996055736	7.082417747382178
0.5599999999999933	1.011832871859385	7.07459473204267
0.6199999999999932	1.011999602297104	7.0667430582307205
0.6799999999999933	1.0121619640984463	7.0587697926412485
0.7399999999999933	1.012320368503644	7.05064668823501
0.7999999999999934	1.012475173927443	7.042381593148587
0.8599999999999934	1.0126266936647437	7.034000781543387
0.9199999999999935	1.012775202409791	7.0255382774410515
0.9799999999999935	1.0129209417755907	7.017029618653679
1.0399999999999936	1.013064124970615	7.008508407908627
1.0999999999999936	1.0132049407649453	7.000004585926629
1.1599999999999937	1.0133435568570794	6.99154374418179
1.2199999999999938	1.013480122734997	6.9831470439656185
1.2799999999999938	1.0136147721102882	6.9748314695909475
1.3399999999999939	1.0137476249916795	6.966610247492508
1.399999999999994	1.0138787894538297	6.958493329599785
1.459999999999994	1.0140083631484442	6.950487881671242
1.519999999999994	1.0141364345973567	6.942598743902205
1.579999999999994	1.0142630843009817	6.934828847567021
1.6399999999999941	1.0143883856903027	6.9271795814308055
1.6999999999999942	1.0145124059461403	6.919651107477851
1.7599999999999942	1.0146352067057318	6.912242628729667
1.8199999999999943	1.0147568446735322	6.904952613537371
1.8799999999999943	1.0148773721505013	6.897778981350392
1.9399999999999944	1.0149968374939395	6.890719255037852
1.9999999999999944	1.01511528551806	6.883770684563275
2.0599999999999943	1.0152327578439135	6.87693034639656
2.1199999999999943	1.0153492932059587	6.870195222559719
2.1799999999999944	1.0154649277214576	6.863562262714536
2.2399999999999944	1.0155796951279277	6.857028432216808
2.2999999999999945	1.0156936269930954	6.850590748642682
2.3599999999999945	1.0158067529011214	6.844246308902711
2.4199999999999946	1.0159191006183026	6.837992308719517
2.4799999999999947	1.0160306962409902	6.83182605596538
2.5399999999999947	1.016141564328036	6.825744979085957
2.5999999999999948	1.016251728019768	6.8197466316424
2.659999999999995	1.0163612091451817	6.8138286938150925
2.719999999999995	1.0164700283188082	6.807988971561003
2.779999999999995	1.016578205028504	6.802225393993068
2.839999999999995	1.0166857577152328	6.796536009441058
2.899999999999995	1.016792703845767	6.790918980565653
2.959999999999995	1.016899059979102	6.785372578829434
3.019999999999995	1.0170048418272775	6.77989517855816
3.079999999999995	1.0171100643111974	6.7744852507813755
3.1399999999999952	1.0172147416119763	6.769141357006484
3.1999999999999953	1.0173188872182637	6.763862143034617
3.2599999999999953	1.0174225139699382	6.758646332904581
3.3199999999999954	1.0175256340985268	6.753492723033593
3.3799999999999955	1.017628259264653	6.748400176599418
3.4399999999999955	1.0177304005927807	6.743367618194117
3.4999999999999956	1.017832068703499	6.738394028771858
3.5599999999999956	1.0179332737435547	6.733478440900852
3.6199999999999957	1.0180340254138271	6.728619934325641
3.6799999999999957	1.0181343329954093	6.723817631833706
3.7399999999999958	1.018234205373951	6.7190706954254305
3.799999999999996	1.0183336510623966	6.714378322774471
3.859999999999996	1.0184326782222466	6.709739743971688
3.919999999999996	1.0185312946834448	6.705154218532657
3.979999999999996	1.0186295079630006	6.700621032662889
4.039999999999996	1.0187273252824343	6.696139496760488
4.099999999999995	1.0188247535841293	6.691708943143815
4.159999999999995	1.0189217995466668	6.687328723987541
4.219999999999994	1.0190184695992162	6.682998209454599
4.279999999999994	1.0191147699350416	6.678716786009274
4.339999999999994	1.0192107065241873	6.674483854896844
4.399999999999993	1.0193062851253936	6.670298830775649
4.459999999999993	1.0194015112972947	6.666161140492908
4.5199999999999925	1.0194963904089478	6.66207022198923
4.579999999999992	1.0195909276497308	6.658025523321534
4.639999999999992	1.0196851280386554	6.654026501793853
4.699999999999991	1.019778996433126	6.650072623186834
4.759999999999991	1.0198725375371862	6.646163361076454
4.8199999999999905	1.0199657559092783	6.6422981962336065
4.87999999999999	1.0200586559695517	6.63847661609861
4.93999999999999	1.0201512420067447	6.634698114317963
4.999999999999989	1.0202435181846652	6.630962190344941
5.059999999999989	1.0203354885482983	6.627268349088915
5.119999999999989	1.020427157029561	6.623616100617334
5.179999999999988	1.020518527452727	6.620004959896376
5.239999999999988	1.0206096035395387	6.6164344465726215
5.299999999999987	1.0207003889140287	6.6129040847853
5.359999999999987	1.0207908871070661	6.609413403011393
5.419999999999987	1.0208811015606472	6.605961933937247
5.479999999999986	1.0209710356319384	6.602549214348763
5.539999999999986	1.0210606925970975	6.599174785049709
5.599999999999985	1.0211500756548755	6.595838190789969
5.659999999999985	1.0212391879300187	6.59253898021412
5.719999999999985	1.0213280324764817	6.589276705822453
5.779999999999984	1.0214166122804604	6.586050923941253
5.839999999999984	1.0215049302632595	6.5828611947066396
5.8999999999999835	1.0215929892839968	6.579707082051039
5.959999999999983	1.0216807921421664	6.576588153702066
6.019999999999983	1.0217683415800554	6.5735039811834834
6.079999999999982	1.0218556402850316	6.570454139821774
6.139999999999982	1.021942690891709	6.567438208757182
6.1999999999999815	1.0220294959839913	6.564455770954344
6.259999999999981	1.0221160580970117	6.561506413218778
6.319999999999981	1.0222023797189659	6.55858972621299
6.37999999999998	1.0222884632928462	6.555705304471023
6.43999999999998	1.0223743112180887	6.552852746418415
6.49999999999998	1.0224599258521296	6.550031654386861
6.559999999999979	1.022545309511882	6.547241634631391
6.619999999999979	1.0226304644751358	6.5444822973463
6.679999999999978	1.022715392981886	6.541753256678208
6.739999999999978	1.0228000972355917	6.53905413074021
6.799999999999978	1.0228845794043726	6.5363845416229625
6.859999999999977	1.0229688416221425	6.533744115404802
6.919999999999977	1.0230528859896901	6.531132482160307
6.9799999999999764	1.023136714575701	6.528549275965353
7.039999999999976	1.023220329417734	6.525994134902975
7.099999999999976	1.0233037325231449	6.523466701064944
7.159999999999975	1.0233869258699704	6.520966620552776
7.219999999999975	1.0234699114077652	6.518493543476291
7.2799999999999745	1.0235526910584023	6.516047123949539
7.339999999999974	1.0236352667168327	6.513627020086467
7.399999999999974	1.0237176402518124	6.511232893992651
7.459999999999973	1.023799813506594	6.508864411757059
7.519999999999973	1.0238817882995865	6.506521243440812
7.5799999999999725	1.023963566424987	6.5042030630644305
7.639999999999972	1.024045149653381	6.501909548592195
7.699999999999972	1.0241265397323196	6.499640381918631
7.759999999999971	1.0242077383868688	6.497395248848144
7.819999999999971	1.0242887473201374	6.495173839077427
7.879999999999971	1.0243695682137794	6.4929758461747875
7.93999999999997	1.0244502027284774	6.490800967556101
7.99999999999997	1.024530652504406	6.488648904463811
8.05999999999997	1.0246109191616755	6.486519361942269
8.11999999999997	1.0246910043007567	6.484412048809053
8.179999999999971	1.0247709095028907	6.482326677630999
8.239999999999972	1.024850636330482	6.480262964695658
8.299999999999972	1.0249301863274747	6.478220629980415
8.359999999999973	1.025009561019718	6.4761993971261225
8.419999999999973	1.0250887619153137	6.474198993402891
8.479999999999974	1.025167790504954	6.472219149680627
8.539999999999974	1.025246648262246	6.47025960039661
8.599999999999975	1.025325336644024	6.468320083522727
8.659999999999975	1.0254038570906525	6.46640034053113
8.719999999999976	1.0254822110263169	6.46450011636214
8.779999999999976	1.0255603998593044	6.462619159386615
8.839999999999977	1.0256384249822799	6.460757221376194
8.899999999999977	1.0257162877725439	6.458914057461913
8.959999999999978	1.0257939895922918	6.457089426103587
9.019999999999978	1.0258715317888594	6.455283089051523
9.079999999999979	1.025948915694962	6.453494811311271
9.13999999999998	1.026026142628926	6.451724361106079
9.19999999999998	1.0261032138949153	6.449971509842144
9.25999999999998	1.0261801307831484	6.448236032070702
9.31999999999998	1.0262568945701114	6.4465177054519485
9.379999999999981	1.0263335065187646	6.444816310717662
9.439999999999982	1.0264099678787426	6.443131631634843
9.499999999999982	1.0264862798865493	6.441463454969367
9.559999999999983	1.026562443765749	6.4398115704481524
9.619999999999983	1.0266384607271501	6.438175770722975
9.679999999999984	1.0267143319689864	6.436555851334493
9.739999999999984	1.0267900586770928	6.434951610674468
9.799999999999985	1.026865642025077	6.433362849949952
9.859999999999985	1.0269410831744867	6.431789373148132
9.919999999999986	1.0270163832749726	6.430230986997516
9.979999999999986	1.0270915434644494	6.4286875009356965
10.039999999999987	1.027166564869251	6.427158727069956
10.099999999999987	1.0272414486042833	6.42564448014523
10.159999999999988	1.027316195773174	6.4241445775061745
10.219999999999988	1.0273908074684173	6.422658839063918
10.279999999999989	1.027465284771519	6.421187087260533
10.33999999999999	1.0275396287531355	6.419729147034811
10.39999999999999	1.0276138404732105	6.418284845788562
10.45999999999999	1.0276879209811107	6.41685401335207
